DATE,UNRATE(%),CONSUMER CONF INDEX,PPI-CONST MAT.,CPIALLITEMS,INFLATION(%),MORTGAGE INT. MONTHLY AVG(%),MED HOUSEHOLD INCOME,CORP. BOND YIELD(%),MONTHLY HOME SUPPLY,% SHARE OF WORKING POPULATION,GDP PER CAPITA,QUARTERLY REAL GDP,QUARTERLY GDP GROWTH RATE (%),CSUSHPISA
01-10-2019,3.6,125.9,233.8,108.5770219,1.764042968,3.688,68703,3.01,5.4,65.08089532,65501,19202.31,0.469097618,159.33
01-09-2019,3.5,125.1,234.4,108.3293603,1.711304446,3.605,68703,3.03,5.4,65.08089532,65023,19112.653,0.685498791,161.288
01-08-2019,3.7,135.1,234.4,108.2445563,1.749779935,3.616,68703,2.98,5.6,65.08089532,65023,19112.653,0.685498791,163.344
01-07-2019,3.7,135.7,235.6,108.2500411,1.811464727,3.765,68703,3.29,5.8,65.08089532,65023,19112.653,0.685498791,165.812
01-06-2019,3.6,121.5,236.3,108.0694634,1.648484655,3.8025,68703,3.42,5.3,65.08089532,64465,18982.528,0.792924408,167.501
01-05-2019,3.6,134.1,237.3,108.0479459,1.790228437,4.072,68703,3.67,6.5,65.08089532,64465,18982.528,0.792924408,169.351
01-04-2019,3.6,129.2,237.2,107.8184265,1.996439733,4.1425,68703,3.69,5.7,65.08089532,64465,18982.528,0.792924408,171.19
01-03-2019,3.8,124.1,238.1,107.2505348,1.86252277,4.265,68703,3.77,5.8,65.08089532,63667,18833.195,0.59779029,172.86
01-02-2019,3.8,131.4,238.1,106.6488902,1.520135299,4.37,68703,3.79,6.4,65.08089532,63667,18833.195,0.59779029,174.44
01-01-2019,4,120.2,238.5,106.1999772,1.551235133,4.464,68703,3.93,6.9,65.08089532,63667,18833.195,0.59779029,176.437
01-12-2018,3.9,128.1,238.3,105.997882,1.910158829,4.6375,63179,4.02,7.5,65.35474362,63162,18721.281,0.223141835,178.027
01-11-2018,3.8,135.7,238.8,106.3375201,2.176601073,4.866,63179,4.22,6.7,65.35474362,63162,18721.281,0.223141835,179.681
01-10-2018,3.8,137.9,238.7,106.6948784,2.522469875,4.83,63179,4.14,7,65.35474362,63162,18721.281,0.223141835,180.91
01-09-2018,3.7,138.4,240,106.5067063,2.276972257,4.6275,63179,3.98,6.6,65.35474362,62786,18679.599,0.481952559,182.32
01-08-2018,3.8,133.4,239.4,106.3830864,2.699180031,4.55,63179,3.88,6.5,65.35474362,62786,18679.599,0.481952559,183.287
01-07-2018,3.8,127.4,239.6,106.324019,2.949515087,4.5275,63179,3.87,6.2,65.35474362,62786,18679.599,0.481952559,184.364
01-06-2018,4,126.4,239.2,106.3168465,2.87154782,4.57,63179,3.96,5.9,65.35474362,62377,18590.004,0.833910909,184.329
01-05-2018,3.8,128,236.8,106.1476603,2.801011709,4.586,63179,4,5.4,65.35474362,62377,18590.004,0.833910909,184.156
01-04-2018,4,128.7,232.4,105.7080294,2.462743921,4.4675,63179,3.85,5.5,65.35474362,62377,18590.004,0.833910909,183.507
01-03-2018,4,127.7,231.3,105.289494,2.35971145,4.444,63179,3.87,5.3,65.35474362,61397,18436.262,0.762854036,183.067
01-02-2018,4.1,130.8,228.7,105.0519583,2.21179546,4.33,63179,3.82,5.7,65.35474362,61397,18436.262,0.762854036,182.593
01-01-2018,4,125.4,225.8,104.5777307,2.070507599,4.0325,63179,3.55,5.7,65.35474362,61397,18436.262,0.762854036,182.799
01-12-2017,4.1,122.1,224.1,104.0111047,2.10908247,3.95,61136,3.51,5.6,65.62325127,60676,18296.685,0.940399838,183.2
01-11-2017,4.2,129.5,223.9,104.0722817,2.202582946,3.922,61136,3.57,4.8,65.62325127,60676,18296.685,0.940399838,183.611
01-10-2017,4.2,125.9,223.9,104.0697503,2.041128682,3.895,61136,3.6,5.5,65.62325127,60676,18296.685,0.940399838,184.141
01-09-2017,4.3,119.8,223.1,104.1355683,2.232963873,3.805,61136,3.63,5.3,65.62325127,59787,18126.226,0.719149991,184.518
01-08-2017,4.4,122.9,222.4,103.5870845,1.938974208,3.88,61136,3.63,6.1,65.62325127,59787,18126.226,0.719149991,184.599
01-07-2017,4.3,121.1,221.9,103.277824,1.727978512,3.9675,61136,3.7,5.8,65.62325127,59787,18126.226,0.719149991,184.15
01-06-2017,4.3,118.9,221.9,103.3491269,1.633487968,3.904,61136,3.68,5.3,65.62325127,59172,17996.802,0.559764823,183.011
01-05-2017,4.4,117.9,221.7,103.2554627,1.874877687,4.01,61136,3.85,5.1,65.62325127,59172,17996.802,0.559764823,181.601
01-04-2017,4.4,120.3,221,103.1672834,2.19968995,4.045,61136,3.87,5.4,65.62325127,59172,17996.802,0.559764823,180.254
01-03-2017,4.4,125.6,219.7,102.8622419,2.380612376,4.196,61136,4.01,5,65.62325127,58745,17896.623,0.471931042,179.111
01-02-2017,4.6,114.8,218.8,102.7787036,2.737958137,4.1675,61136,3.95,5.3,65.62325127,58745,17896.623,0.471931042,178.117
01-01-2017,4.7,111.8,217.3,102.4563639,2.500042222,4.15,61136,3.92,5.4,65.62325127,58745,17896.623,0.471931042,177.558
01-12-2016,4.7,113.7,215.5,101.8627356,2.074622152,4.198,59039,4.06,5.4,65.88071495,58263,17812.56,0.496888796,176.624
01-11-2016,4.7,107.1,214.5,101.8294046,1.692537123,3.77,59039,3.86,5.2,65.88071495,58263,17812.56,0.496888796,175.147
01-10-2016,4.9,98.6,214.8,101.9880431,1.635987524,3.47,59039,3.51,5.2,65.88071495,58263,17812.56,0.496888796,174.341
01-09-2016,5,104.1,215.3,101.8610479,1.463783603,3.46,59039,3.41,5.2,65.88071495,57784,17724.489,0.601115379,173.133
01-08-2016,4.9,101.1,216,101.6167617,1.062874489,3.435,59039,3.32,5,65.88071495,57784,17724.489,0.601115379,171.542
01-07-2016,4.8,97.3,215.3,101.5235194,0.827138819,3.44,59039,3.28,4.5,65.88071495,57784,17724.489,0.601115379,170.054
01-06-2016,4.9,98,214.6,101.6880646,0.997326512,3.568,59039,3.5,5.3,65.88071495,57396,17618.581,0.302388807,168.337
01-05-2016,4.8,92.6,213.7,101.3551771,1.019322603,3.6,59039,3.65,5.1,65.88071495,57396,17618.581,0.302388807,166.658
01-04-2016,5.1,94.2,212.7,100.9467675,1.12511039,3.605,59039,3.62,5,65.88071495,57396,17618.581,0.302388807,165.017
01-03-2016,5,96.2,211.6,100.4704304,0.852536233,3.694,59039,3.82,5.5,65.88071495,56923,17565.465,0.589179869,163.567
01-02-2016,4.9,92.2,211.3,100.0396596,1.017799782,3.66,59039,3.96,5.5,65.88071495,56923,17565.465,0.589179869,161.989
01-01-2016,4.8,98.1,211.4,99.95738702,1.373086811,3.8725,59039,4,5.6,65.88071495,56923,17565.465,0.589179869,160.309
01-12-2015,5,96.5,210.9,99.79241995,0.729519788,3.964,56516,3.97,5.1,66.11387763,56736,17462.579,0.146234347,158.329
01-11-2015,5.1,90.4,211.7,100.1345895,0.501797581,3.9425,56516,4.06,5.5,66.11387763,56736,17462.579,0.146234347,156.142
01-10-2015,5,97.6,212.4,100.3463887,0.170574516,3.796,56516,3.95,5.6,66.11387763,56736,17462.579,0.146234347,153.618
01-09-2015,5,103,212.5,100.3915331,-0.036129731,3.89,56516,4.07,5.9,66.11387763,56779,17437.08,0.323372673,151.504
01-08-2015,5.1,101.5,213.3,100.548062,0.195079344,3.905,56516,4.04,5,66.11387763,56779,17437.08,0.323372673,150.012
01-07-2015,5.2,90.9,213.7,100.6906678,0.169569871,4.046,56516,4.15,5.2,66.11387763,56779,17437.08,0.323372673,148.659
01-06-2015,5.3,101.4,213.7,100.6839172,0.123771257,3.9825,56516,4.19,5.4,66.11387763,56547,17380.875,0.580001432,147.949
01-05-2015,5.6,95.4,213.7,100.3324656,-0.039932732,3.84,56516,3.98,5,66.11387763,56547,17380.875,0.580001432,147.696
01-04-2015,5.4,95.2,214.5,99.82364134,-0.199517462,3.672,56516,3.52,4.9,66.11387763,56547,17380.875,0.580001432,148.09
01-03-2015,5.4,101.3,215,99.62112422,-0.073637395,3.77,56516,3.64,5.1,66.11387763,56018,17280.647,0.813313626,148.409
01-02-2015,5.5,96.4,215.3,99.03171502,-0.025129803,3.71,56516,3.61,4.5,66.11387763,56018,17280.647,0.813313626,148.276
01-01-2015,5.7,102.9,215.8,98.6034757,-0.089348314,3.67,56516,3.46,4.8,66.11387763,56018,17280.647,0.813313626,148.023
01-12-2014,5.6,92.6,215.5,99.06968698,0.756493268,3.864,53657,3.79,5.1,66.31769921,55683,17141.235,0.448993402,147.848
01-11-2014,5.8,88.7,215.8,99.63462536,1.322355174,3.9975,53657,3.92,5.7,66.31769921,55683,17141.235,0.448993402,148.133
01-10-2014,5.7,94.5,215.9,100.1755148,1.664340182,4.036,53657,3.92,5.3,66.31769921,55683,17141.235,0.448993402,147.929
01-09-2014,5.9,86,215.7,100.4278174,1.657918666,4.1625,53657,4.11,5.4,66.31769921,55462,17064.616,1.164961644,147.395
01-08-2014,6.1,92.4,215.5,100.3522954,1.699611332,4.115,53657,4.08,5.4,66.31769921,55462,17064.616,1.164961644,145.632
01-07-2014,6.2,90.9,214.8,100.5202158,1.992328582,4.13,53657,4.16,6.2,66.31769921,55462,17064.616,1.164961644,145.86
01-06-2014,6.1,85.2,214.5,100.5594535,2.072341326,4.1625,53657,4.25,5.7,66.31769921,54703,16868.109,1.284128907,146.401
01-05-2014,6.3,83,214.3,100.3725471,2.127111537,4.192,53657,4.16,5.2,66.31769921,54703,16868.109,1.284128907,146.391
01-04-2014,6.2,82.3,213.6,100.0232051,1.952857911,4.3375,53657,4.24,5.7,66.31769921,54703,16868.109,1.284128907,145.717
01-03-2014,6.7,82.3,213.4,99.69453668,1.512202876,4.3425,53657,4.38,5.6,66.31769921,53804,16654.247,-0.350109737,144.988
01-02-2014,6.7,78.1,212.7,99.05660775,1.126349242,4.3025,53657,4.45,5.3,66.31769921,53804,16654.247,-0.350109737,143.912
01-01-2014,6.6,80.7,211.7,98.69165503,1.578947372,4.432,53657,4.49,5.1,66.31769921,53804,16654.247,-0.350109737,143.015
01-12-2013,6.7,78.1,209.8,98.32585848,1.501735618,4.4575,53585,4.62,5.2,66.55061801,53866,16712.76,0.711171002,142.525
01-11-2013,6.9,70.4,209.8,98.3342967,1.237072212,4.255,53585,4.63,5,66.55061801,53866,16712.76,0.711171002,142.169
01-10-2013,7.2,71.2,209.3,98.53554808,0.963612703,4.192,53585,4.53,4.9,66.55061801,53866,16712.76,0.711171002,142.061
01-09-2013,7.2,79.7,208.9,98.78996021,1.184925259,4.49,53585,4.64,5.4,66.55061801,53281,16594.743,0.791653411,141.526
01-08-2013,7.2,81.5,208.9,98.67520051,1.518367554,4.456,53585,4.54,5.5,66.55061801,53281,16594.743,0.791653411,140.356
01-07-2013,7.3,80.3,208.3,98.55664362,1.960681616,4.37,53585,4.34,5.5,66.55061801,53281,16594.743,0.791653411,139.987
01-06-2013,7.5,81.4,208.8,98.51782784,1.75441655,4.07,53585,4.27,4.1,66.55061801,52724,16464.402,0.13938522,140.011
01-05-2013,7.5,76.2,209.5,98.28197977,1.361965059,3.536,53585,3.89,4.6,66.55061801,52724,16464.402,0.13938522,139.904
01-04-2013,7.6,68.1,210.7,98.10730876,1.063085386,3.445,53585,3.73,4.4,66.55061801,52724,16464.402,0.13938522,139.86
01-03-2013,7.5,59.7,209.8,98.20941114,1.473896216,3.565,53585,3.93,4.2,66.55061801,52591,16441.485,0.867789548,139.727
01-02-2013,7.7,69.6,209.1,97.95331137,1.977923517,3.5325,53585,3.9,4.1,66.55061801,52591,16441.485,0.867789548,139.306
01-01-2013,8,58.6,208.4,97.15758785,1.594864665,3.414,53585,3.8,4,66.55061801,52591,16441.485,0.867789548,138.667
01-12-2012,7.9,65.1,206.4,96.87111051,1.741022367,3.345,51017,3.65,4.5,66.78334217,52015,16300.035,0.109838067,137.954
01-11-2012,7.7,73.7,205.6,97.13269512,1.764133843,3.352,51017,3.5,4.6,66.78334217,52015,16300.035,0.109838067,137.154
01-10-2012,7.8,72.2,205.5,97.59510921,2.162343595,3.3825,51017,3.47,4.9,66.78334217,52015,16300.035,0.109838067,136.676
01-09-2012,7.8,70.3,206.6,97.63308117,1.991282078,3.4975,51017,3.49,4.5,66.78334217,51803,16282.151,0.174882978,136.607
01-08-2012,8.1,60.6,205.5,97.19935701,1.692378999,3.602,51017,3.48,4.6,66.78334217,51803,16282.151,0.174882978,136.529
01-07-2012,8.2,65.9,206.2,96.66142091,1.408450699,3.55,51017,3.4,4.6,66.78334217,51803,16282.151,0.174882978,137.903
01-06-2012,8.2,62,206.6,96.8192155,1.663993766,3.675,51017,3.64,4.8,66.78334217,51554,16253.726,0.455859987,139.155
01-05-2012,8.2,64.9,206.5,96.96139939,1.704253776,3.798,51017,3.8,4.7,66.78334217,51554,16253.726,0.455859987,140.156
01-04-2012,8.2,69.2,206.3,97.07531527,2.302739809,3.91,51017,3.96,4.9,66.78334217,51554,16253.726,0.455859987,141.029
01-03-2012,8.2,70.2,205.7,96.78293118,2.651398195,3.954,51017,3.99,4.9,66.78334217,51205,16179.968,0.817922845,141.667
01-02-2012,8.3,70.8,205.1,96.05344764,2.871098777,3.89,51017,3.85,4.8,66.78334217,51205,16179.968,0.817922845,142.277
01-01-2012,8.3,61.1,203.9,95.6323808,2.92521671,3.915,51017,3.85,5.3,66.78334217,51205,16179.968,0.817922845,142.907
01-12-2011,8.5,64.5,202.2,95.21342351,2.96241885,3.958,50054,3.93,5.3,67.09465577,50573,16048.702,1.121678183,143.6
01-11-2011,8.6,56,202.2,95.44884966,3.394377595,3.9925,50054,3.87,5.7,67.09465577,50573,16048.702,1.121678183,144.585
01-10-2011,8.8,39.8,202.7,95.5294346,3.525199928,4.0675,50054,3.98,6,67.09465577,50573,16048.702,1.121678183,145.501
01-09-2011,9,45.4,202.7,95.72688879,3.868356845,4.106,50054,4.09,6.3,67.09465577,50056,15870.684,-0.038767163,146.835
01-08-2011,9,44.5,202.8,95.58175152,3.771208177,4.27,50054,4.37,6.5,67.09465577,50056,15870.684,-0.038767163,147.784
01-07-2011,9,59.5,202.6,95.31890118,3.628715984,4.545,50054,4.93,6.7,67.09465577,50056,15870.684,-0.038767163,149.965
01-06-2011,9.1,58.5,201.9,95.23451904,3.558828246,4.51,50054,4.99,6.6,67.09465577,49873,15876.839,0.678050751,151.521
01-05-2011,9,60.8,201.6,95.33662142,3.568645779,4.6375,50054,4.96,6.6,67.09465577,49873,15876.839,0.678050751,152.854
01-04-2011,9.1,65.4,201.1,94.89023994,3.163630855,4.84,50054,5.16,6.7,67.09465577,49873,15876.839,0.678050751,154.194
01-03-2011,9,63.4,199.7,94.28311049,2.681603255,4.836,50054,5.13,7.2,67.09465577,49302,15769.911,-0.240916068,155.606
01-02-2011,9,70.4,198.1,93.37262728,2.107584633,4.9525,50054,5.22,8.1,67.09465577,49302,15769.911,-0.240916068,156.973
01-01-2011,9.1,60.6,195.9,92.9144323,1.631846857,4.755,50054,5.04,7.3,67.09465577,49302,15769.911,-0.240916068,158.234
01-12-2010,9.3,52.5,194.2,92.47395756,1.49572352,4.714,49276,5.02,7,67.12843528,49256,15807.995,0.519595159,159.247
01-11-2010,9.8,54.1,193.6,92.31531915,1.143160908,4.3,49276,4.87,8.2,67.12843528,49256,15807.995,0.519595159,160.075
01-10-2010,9.4,50.2,193.8,92.27650337,1.172187601,4.225,49276,4.68,8.2,67.12843528,49256,15807.995,0.519595159,160.997
01-09-2010,9.5,48.5,193.9,92.16174367,1.143682656,4.346,49276,4.53,7.6,67.12843528,48821,15726.282,0.77314415,161.948
01-08-2010,9.5,53.5,194.1,92.10816102,1.148104565,4.4275,49276,4.49,8.8,67.12843528,48821,15726.282,0.77314415,162.53
01-07-2010,9.4,50.4,195.6,91.98116591,1.235192781,4.564,49276,4.72,8.9,67.12843528,48821,15726.282,0.77314415,163.093
01-06-2010,9.4,52.9,197.2,91.96175802,1.053348973,4.7375,49276,4.88,8.3,67.12843528,48403,15605.628,0.967704639,163.4
01-05-2010,9.6,63.3,198.9,92.05162499,2.020986081,4.8875,49276,4.96,9.3,67.12843528,48403,15605.628,0.967704639,163.666
01-04-2010,9.9,57.9,196.5,91.98032209,2.236447196,5.098,49276,5.29,6.2,67.12843528,48403,15605.628,0.967704639,164.04
01-03-2010,9.9,52.5,193.7,91.82083986,2.313959457,4.9675,49276,5.27,7.1,67.12843528,47797,15456.059,0.500053481,164.574
01-02-2010,9.8,46,192.2,91.44533936,2.143331775,4.99,49276,5.35,8.3,67.12843528,47797,15456.059,0.500053481,165.219
01-01-2010,9.8,55.9,190.3,91.42255619,2.625708649,5.03,49276,5.26,8.1,67.12843528,47797,15456.059,0.500053481,165.909
01-12-2009,9.9,52.9,189.4,91.11118612,2.721331123,4.93,49777,5.26,8,67.1707618,47525,15379.155,1.06796195,166.646
01-11-2009,9.9,49.5,189.2,91.27193408,1.838295863,4.875,49777,5.19,7.6,67.1707618,47525,15379.155,1.06796195,167.339
01-10-2009,10,47.7,189.7,91.20738175,-0.182848274,4.952,49777,5.15,7.4,67.1707618,47525,15379.155,1.06796195,168.058
01-09-2009,9.8,53.1,189.3,91.11962433,-1.286205966,5.0575,49777,5.13,7.8,67.1707618,46977,15216.647,0.361929991,168.663
01-08-2009,9.6,54.1,188.1,91.06266639,-1.48434861,5.1925,49777,5.26,7.5,67.1707618,46977,15216.647,0.361929991,169.138
01-07-2009,9.5,46.6,187.6,90.85888354,-2.097161358,5.222,49777,5.41,7.9,67.1707618,46977,15216.647,0.361929991,169.812
01-06-2009,9.5,49.3,187.1,91.00317699,-1.426776038,5.42,49777,5.61,8.5,67.1707618,46865,15161.772,-0.169238139,170.312
01-05-2009,9.4,54.9,186.9,90.2281271,-1.281435793,4.8575,49777,5.54,9.3,67.1707618,46865,15161.772,-0.169238139,170.894
01-04-2009,9,39.2,188.1,89.96823013,-0.736885713,4.81,49777,5.39,10.7,67.1707618,46865,15161.772,-0.169238139,171.437
01-03-2009,8.7,26,190.2,89.74419556,-0.383556261,5.0025,49777,5.5,11,67.1707618,47123,15187.475,-1.165722531,172.131
01-02-2009,8.3,25,191.2,89.52648966,0.236191085,5.13,49777,5.27,10.5,67.1707618,47123,15187.475,-1.165722531,172.948
01-01-2009,7.8,37.7,193.3,89.08348346,0.029846502,5.0475,49777,5.05,12.2,67.1707618,47123,15187.475,-1.165722531,173.84
01-12-2008,7.3,38,194.8,88.69743521,0.091412903,5.286,50303,5.05,11.2,67.21901249,47799,15366.607,-2.183097148,174.802
01-11-2008,6.8,44.9,199.6,89.62437294,1.069574698,6.0875,50303,6.12,11.4,67.21901249,47799,15366.607,-2.183097148,175.747
01-10-2008,6.5,38,201.8,91.37445837,3.65518627,6.2,50303,6.28,11.6,67.21901249,47799,15366.607,-2.183097148,176.553
01-09-2008,6.1,59.8,206.3,92.30688094,4.936927429,6.0375,50303,5.65,10.9,67.21901249,48865,15709.562,-0.526892902,177.302
01-08-2008,6.1,56.9,206.5,92.43471987,5.371855111,6.4775,50303,5.64,11.3,67.21901249,48865,15709.562,-0.526892902,177.667
01-07-2008,5.8,51.9,203.4,92.80515744,5.600122908,6.426,50303,5.67,10.5,67.21901249,48865,15709.562,-0.526892902,178.193
01-06-2008,5.6,50.4,200.4,92.32038208,5.021790043,6.32,50303,5.68,10.7,67.21901249,48875,15792.773,0.572295345,178.8
01-05-2008,5.4,52.7,195.8,91.3993511,4.175543041,6.036,50303,5.57,10.7,67.21901249,48875,15792.773,0.572295345,179.46
01-04-2008,5,62.3,190.9,90.63611471,3.936889777,5.9175,50303,5.55,10.3,67.21901249,48875,15792.773,0.572295345,180.057
01-03-2008,5.1,64.5,187.8,90.0897404,3.981456238,5.97,50303,5.51,10.5,67.21901249,48457,15702.906,-0.407429474,180.848
01-02-2008,4.9,75,185.7,89.31553433,4.026555418,5.9175,50303,5.53,9.7,67.21901249,48457,15702.906,-0.407429474,181.868
01-01-2008,5,90.6,184.3,89.05690309,4.28029405,5.758,50303,5.33,9.3,67.21901249,48457,15702.906,-0.407429474,182.837
01-12-2007,5,87.8,183.5,88.61642836,4.08126859,6.095,50233,5.49,9.6,67.29843266,48592,15767.146,0.609644003,183.751
01-11-2007,4.7,95.2,183.3,88.67591776,4.306203478,6.208,50233,5.44,9.4,67.29843266,48592,15767.146,0.609644003,184.74
01-10-2007,4.7,99.5,183,88.15232663,3.536174439,6.375,50233,5.66,8.5,67.29843266,48592,15767.146,0.609644003,185.69
01-09-2007,4.7,105.6,183.4,87.96415447,2.755051755,6.3825,50233,5.74,9.2,67.29843266,48216,15671.605,0.602306657,186.793
01-08-2007,4.6,111.9,183.9,87.72239966,1.970083374,6.572,50233,5.79,9.2,67.29843266,48216,15671.605,0.602306657,187.313
01-07-2007,4.7,105.3,184.2,87.88356953,2.358230959,6.695,50233,5.73,8.3,67.29843266,48216,15671.605,0.602306657,188.032
01-06-2007,4.6,108.5,184,87.9059308,2.687037957,6.6575,50233,5.79,8.2,67.29843266,47802,15577.779,0.63843453,188.818
01-05-2007,4.4,106.3,184,87.7359008,2.690864196,6.262,50233,5.47,7.8,67.29843266,47802,15577.779,0.63843453,189.707
01-04-2007,4.5,108.2,183.7,87.20302763,2.573697274,6.18,50233,5.47,7.4,67.29843266,47802,15577.779,0.63843453,190.522
01-03-2007,4.4,111.2,182.5,86.6401988,2.778778779,6.156,50233,5.3,7.9,67.29843266,47289,15478.956,0.293598861,191.499
01-02-2007,4.5,110.2,181.5,85.85839834,2.415198793,6.285,50233,5.39,7.9,67.29843266,47289,15478.956,0.293598861,192.723
01-01-2007,4.6,110,181.1,85.40146909,2.075642958,6.2175,50233,5.4,7.2,67.29843266,47289,15478.956,0.293598861,193.786
01-12-2006,4.4,105.3,179.8,85.14157212,2.540650403,6.135,48201,5.32,6.5,67.26293826,46807,15433.643,0.843711696,194.778
01-11-2006,4.5,105.1,179.8,85.01499892,1.973684208,6.24,48201,5.33,6.6,67.26293826,46807,15433.643,0.843711696,195.866
01-10-2006,4.4,105.9,182.3,85.14157212,1.305220874,6.3575,48201,5.51,7.3,67.26293826,46807,15433.643,0.843711696,197.044
01-09-2006,4.5,100.2,183.3,85.60567385,2.062374239,6.4025,48201,5.51,6.7,67.26293826,46361,15304.517,0.150456188,198.201
01-08-2006,4.7,107,182.6,86.02758452,3.818737277,6.524,48201,5.68,6.7,67.26293826,46361,15304.517,0.150456188,199.184
01-07-2006,4.7,105.4,182.3,85.85882025,4.145342882,6.7625,48201,5.85,7.3,67.26293826,46361,15304.517,0.150456188,200.038
01-06-2006,4.6,104.7,180.7,85.60567385,4.318766063,6.682,48201,5.89,6.3,67.26293826,46089,15281.525,0.245583731,200.876
01-05-2006,4.6,109.8,179.9,85.43690959,4.166666662,6.5975,48201,5.95,6.2,67.26293826,46089,15281.525,0.245583731,201.646
01-04-2006,4.7,107.5,179,85.01499892,3.545734833,6.5075,48201,5.84,6.3,67.26293826,46089,15281.525,0.245583731,202.345
01-03-2006,4.7,102.7,178.3,84.29775079,3.362648733,6.324,48201,5.53,5.9,67.26293826,45675,15244.088,1.34866612,203.015
